lemma_võro,lemma_estonian,lemma_finnish,lemma_english,lemma_saami,lemma_norwegian,lemma_swedish,lemma_german,pos,semtype,audio,,,
ikäv,igav,tylsä,boring,ahkit,kjedelig,tråkig,kjedelig_DEU,A,ISSUE_A,https://synaq.org/priv/heli/ev/0001i-00095.mp3,,,
ildas jäämä,hilinema,myöhästyä,be delayed,maŋŋonit,bli forsinket,bli forsinket_SWE,bli forsinket_DEU,V,YYY,https://synaq.org/priv/heli/ev/0001h-00938.mp3,,,
ilm,ilm,ilma,weather,dálki,vær,väder,vær_DEU,N,WEATHER,https://synaq.org/priv/heli/ev/000101839.mp3,,,
ilma iist,tasuta,ilmaiseksi,free,nuvttá,gratis,gratis,gratis_DEU,Adv,WORK_ECONOMY_ADV,https://synaq.org/priv/heli/ev/0001j-00642.mp3,,,
ilmavõrk,Internet,internet,internet,interneahtta,internett,internet,nätet,Internet,N,YYY,,,
ilostama,kaunistama,koristaa,decorate,hervet,dekorere,pryda,schmücken,V,CLOTHING_V,https://synaq.org/priv/heli/ev/0001b-d-00248.mp3,,,
ilostama,kaunistama,koristella,decorate,dekoreret,dekorere,dekorera,dekorieren,V,WORK_ECONOMY_V,https://synaq.org/priv/heli/ev/0001b-d-00248.mp3,,,
ilostama,kaunistama,koristella,decorate,čiŋahit,pynte,utsmycka,dekorieren,V,CHRISTMAS,https://synaq.org/priv/heli/ev/0001b-d-00248.mp3,,,
ilves,ilves,ilves,lynx,albbas,gaupe,lodjur,gaupe_DEU,N,ANIMAL_WILD,https://synaq.org/priv/heli/ev/0001i-00359.mp3,,,
imehtämä,imestama,ihmetellä,wonder,imaštallat,forundre seg,förundra sig,sich wundern,V,EXPERIENCE_V,https://synaq.org/priv/heli/ev/0001h-01935.mp3,,,
imelik,imelik,kummallinen,strange,ártet,rar,konstig,rar_DEU,A,ANIMAL_A,https://synaq.org/priv/heli/ev/0001i-00377.mp3,,,
imä,ema,äiti,mother,eadni,mor,mor,Mutter,N,FAMILY,https://synaq.org/priv/heli/ev/0001b-d-01311.mp3,,,
imäkiil',emakeel,äidinkieli,mother tongue,eatnigiella,morsmål,modersmål,morsmål_DEU,N,LANGUAGEPART,https://synaq.org/priv/heli/ev/0001b-d-01319.mp3,,,
inemine,inimene,ihminen,human being,olmmoš,menneske,vän,menneske_DEU,N,OTHERS,https://synaq.org/priv/heli/ev/0001b-d-01102.mp3,,,
ingli,ingel,enkeli,angel,eŋgel,engel,ängel,Engel,N,CHRISTMAS,https://synaq.org/priv/heli/ev/0001i-00514.mp3,,,
inne,enne,ennen,before,ovdal,før,før_SWE,før_DEU,Adv,TIME_ADV,https://synaq.org/priv/heli/ev/0001b-d-01446.mp3,,,
inneskine,endine,entinen,previous,ovddeš,tidligere,tidigare,tidligere_DEU,A,YYY,https://synaq.org/priv/heli/ev/0001b-d-00743.mp3,,,
istma,istuma,istua,sit,čohkkát,sitte,sitta,sitzen,V,BODY_V,https://synaq.org/priv/heli/ev/0001i-00893.mp3,,,
jagama,jagama,jakaa,share,juohkit,dele,dela,teilen,V,ACTION_V,https://synaq.org/priv/heli/ev/0001j-00028.mp3,,,
jago,osa,osa,part,oassi,del,del,del_DEU,N,AMOUNT,https://synaq.org/priv/heli/ev/000101122.mp3,,,
jakk',jakk,takki,jacket,jáhkka,jakke,jacka,jakke_DEU,N,CLOTHING,https://synaq.org/priv/heli/ev/0001j-00126.mp3,,,
jakkama,jätkama,jatkaa,continue,joatkit,fortsette,fortsätta,weitermachen,V,ACTION_V,https://synaq.org/priv/heli/ev/0001j-01148.mp3,,,
jalg,lalg,jalka,foot,juolgi,fot,fot,Fuss,N,BODYPART,https://synaq.org/priv/heli/ev/0001j-00170.mp3,,,
jalgpallimängjä,jalgpallimängija,jalkapallopelaaja,football player,čiekči,fotballspiller,fotbollspelare,fotballspiller_DEU,N,OTHERS,,,,
jalgratas,jalgratas,polkupyörä,bicycle,sihkkel,sykkel,cykel,sykkel_DEU,N,VEHICLE,https://synaq.org/priv/heli/ev/0001j-00178.mp3,,,
jauh,jahu,jauho,flour,jáffu,mel,mjöl,Mehl,N,FOOD_GROCERY_PL,https://synaq.org/priv/heli/ev/0001j-00099.mp3,,,
jauhma,jahvatama,jauhaa,grind,ferdnet,kverne,mala,mahlen,V,FOOD_DRINK_V,https://synaq.org/priv/heli/ev/0001j-00117.mp3,,,
johtuma,juhtuma,tapahtua,happen,dáhpáhuvvat,hende,hända,geschehen,V,EXPOSURE_V,https://synaq.org/priv/heli/ev/0001j-00551.mp3,,,
joogihädä,janu,jano,thirst,goiku,tørst,törst,tørst_DEU,N,FEELING,https://synaq.org/priv/heli/ev/0001j-00236.mp3,,,
joonistama,joonistama,piirtää,draw,sárgut,tegne,teckna,zeichnen,V,SCHOOL_V,MORFAC_V,https://synaq.org/priv/heli/ev/0001i-00273.mp3,,
