ruslemma;ruslemma stressed;PoS;ZaliznjakCode;Book;Lesson;EnglishGloss;DanishGloss;NorwegianGloss;SemanticSet;AspectPartner;MotionPartner
конечно;коне́чно;;;MiP;L3;of course;selvfølgelig;selvfølgelig;;;
консалтинговый;конса́лтинговый;;;MiP;L21;consulting;rådgivningsrelatered;rådgivningsrelatert;;;
контора;конто́ра;;;MiP;;office;kontorrum;kontorrom;;;
контракт;контра́кт;;;MiP;B6;contract;kontrakt;kontrakt;;;
контроль;контро́ль;;;MiP;L20;check, inspection;kontrol;kontroll;;;
конфета;конфе́та;;;MiP;L6;candy;konfekt ;konfekt ;;;
концерт;конце́рт;;;MiP;L6;concert;koncert;konsert;;;
концертный;конце́ртный;;;MiP;L16;concert;koncertrelatered;konsertrelatert;;;
кончаться;конча́ться;;;MiP;L15;end;slutte;slutte, ta slutt;;ко́нчиться;
кончиться;ко́нчиться;;;MiP;L15;end;slutte;slutte, ta slutt;;конча́ться;
Копенгаген;Копенга́ген;;;MiP;L3;Copenhagen;København;København;;;
коридор;коридо́р;;;MiP;L1;corridor;gang, korridor;gang, korridor;;;
который;кото́рый;;;MiP;L4;which, who;der, som;som;;;
кофе;ко́фе;;;MiP;L4;coffee;kaffe;kaffe;;;
кошмар;кошма́р;;;MiP;L6;nightmare;mareridt;mareritt;;;
красивый;краси́вый;;;MiP;L1;beautiful;smuk;vakker;;;
красить;кра́сить;;;MiP;L4;paint;male;male;;;
красный;кра́сный;;;MiP;B8;red;rød;rød;;;
кредитный;креди́тный;;;MiP;L19;credit;kreditrelatered;kredittrelatert;;;
кричать;крича́ть;;;MiP;L18;yell;råbe;rope;;;
кроме;кро́ме;;;MiP;L18;except;undtagen;unntatt;;;
кто;кто;;;MiP;B1;who;hvem;hvem;;;
кто-нибудь;кто́-нибудь;;;MiP;;anyone;nogen;noen;;;
кто-то;кто́-то;;;MiP;;someone;nogen;noen;;;
куда;куда́;;;MiP;L4;to where;hvorhen;hvorhen;;;
купаться;купа́ться;;;MiP;L17;bathe, go swimming;bade;bade;;искупа́ться;
купить;купи́ть;;;MiP;L7;buy;købe;kjøpe;;покупа́ть;
кухня;ку́хня;;;MiP;B7;kitchen;køkken;kjøkken;;;
ладно;ла́дно;;;MiP;L6;ok;ok;ok;;;
лампа;ла́мпа;;;MiP;B2;lamp;lampe;lampe;;;
лампочка;ла́мпочка;;;MiP;L14;lamp, lightbulb;pære;lyspære;;;
легче;ле́гче;;;MiP;L21;easier;lettere;lettere;;;
лед;лёд;;;MiP;L17;ice;is;is;;;
лежать;лежа́ть;;;MiP;L2;lie;ligge;ligge;;;
лекция;ле́кция;;;MiP;L10;lecture;forelæsning;forelesning;;;
лес;лес;;;MiP;L17;forest;skov;skog;;;
летний;ле́тний;;;MiP;;summer;sommerrelatered;sommerrelatert;;;
лето;ле́то;;;MiP;L11;summer, year;sommer, år;sommer, år;;;
летом;ле́том;;;MiP;;in the summer;om sommeren;om sommeren;;;
лимон;лимо́н;;;MiP;L7;lemon;citron;sitron;;;
литература;литерату́ра;;;MiP;L5;literature;litteratur;litteratur;;;
лифт;лифт;;;MiP;L10;elevator;elevator;heis;;;
ловить;лови́ть;;;MiP;L17;fish for, catch;fange;fange;;пойма́ть;
ломаться;лома́ться;;;MiP;L20;break;gå i stykker;gå i stykker;;слома́ться;
лучше;лу́чше;;;MiP;L12;better;bedre, hellere;bedre;;;
лыжи;лы́жи;;;MiP;L17;skis;ski;ski;;;
лыжник;лы́жник;;;MiP;L18;skier;skiløber;skiløper;;;
любимый;люби́мый;;;MiP;L6;favorite;elsket;elsket;;;
любить;люби́ть;;;MiP;L21;love;elske;elske;;;
любовь;любо́вь;;;MiP;L18;love;kærlighed;kjærlighet;;;
люди;лю́ди;;;MiP;L11;people;folk;folk;;;
магазин;магази́н;;;MiP;L6;store, shop;forretning;forretning;;;
маленький;ма́ленький;;;MiP;B8;small;lille;liten;;;
мало;ма́ло;;;MiP;L11;little, few;lidt, få;lite, få;;;
мальчик;ма́льчик;;;MiP;L10;boy;dreng;gutt;;;
мама;ма́ма;;;MiP;B4;mom;mor;mamma;;;
марка;ма́рка;;;MiP;L15;stamp;frimærke;frimerke;;;
март;март;;;MiP;L19;March;marts;mars;;;
маршрутный;маршру́тный;;;MiP;L20;fixed-route;ruterelatered;rutegående;;;
масло;ма́сло;;;MiP;L8;butter;smør;smør;;;
мать;мать;;;MiP;B5;mother;mor;mor;;;
машина;маши́на;;;MiP;L7;car;bil;bil;;;
мед;мёд;;;MiP;L13;honey;honning;honning;;;
медведь;медве́дь;;;MiP;L18;bear;bjørn;bjørn;;;
меньше;ме́ньше;;;MiP;L20;less;mindre;mindre;;;
место;ме́сто;;;MiP;L16;place;sted;sted;;;
месяц;ме́сяц;;;MiP;L10;month;måned;måned;;;
