ieš+Pron+Refl+Gen+PxPl2+Use/NG	iežaideattet

ieš+Pron+Refl+Acc+PxPl2+Use/NG	iežaideattet

ieš+Pron+Refl+Ill+PxPl2+Use/NG	allaseattet
ieš+Pron+Refl+Ill+PxPl2+Use/NG	alccadet
ieš+Pron+Refl+Ill+PxPl2+Use/NG	alccedet

ieš+Pron+Refl+Ill+PxPl2+Use/NG	allaseattet
ieš+Pron+Refl+Ill+PxPl2+Use/NG	alccadet
ieš+Pron+Refl+Ill+PxPl2+Use/NG	alccedet

ieš+Pron+Refl+Ill+PxPl2+Use/NG	allaseattet
ieš+Pron+Refl+Ill+PxPl2+Use/NG	alccadet
ieš+Pron+Refl+Ill+PxPl2+Use/NG	alccedet

ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddesteattet
ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddáneattet
ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddiineattet

ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddesteattet
ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddáneattet
ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddiineattet

ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddesteattet
ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddáneattet
ieš+Pron+Refl+Loc+PxPl2+Use/NG	alddiineattet

ieš+Pron+Refl+Gen+PxPl3+Use/NG	iežaideaset

ieš+Pron+Refl+Acc+PxPl3+Use/NG	iežaideaset

ieš+Pron+Refl+Gen+PxPl3+Use/NG	iežaideaset

ieš+Pron+Refl+Acc+PxPl3+Use/NG	iežaideaset

ieš+Pron+Refl+Ill+PxPl3+Use/NG	allaseaset
ieš+Pron+Refl+Ill+PxPl3+Use/NG	alcciset
ieš+Pron+Refl+Ill+PxPl3+Use/NG	alcceset

ieš+Pron+Refl+Ill+PxPl3+Use/NG	allaseaset
ieš+Pron+Refl+Ill+PxPl3+Use/NG	alcciset
ieš+Pron+Refl+Ill+PxPl3+Use/NG	alcceset

ieš+Pron+Refl+Ill+PxPl3+Use/NG	allaseaset
ieš+Pron+Refl+Ill+PxPl3+Use/NG	alcciset
ieš+Pron+Refl+Ill+PxPl3+Use/NG	alcceset

ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset

ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset

ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset

ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddeset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddesteaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddáneaset
ieš+Pron+Refl+Loc+PxPl3+Use/NG	alddiineaset

